instrument_id,session_date,open,high,low,close,volume,currency,adjustment,volume_adjustment,available_at,retrieved_at,source_record_id,source_content_sha256
11111111-1111-4111-8111-111111111111,2026-08-17,20.00,21.00,19.50,20.50,100000,USD,unadjusted,unadjusted,2026-08-18T02:00:00Z,2026-08-18T02:05:00Z,synu-2026-08-17,1111111111111111111111111111111111111111111111111111111111111111
11111111-1111-4111-8111-111111111111,2026-08-18,20.50,22.00,20.25,21.75,120000,USD,unadjusted,unadjusted,2026-08-19T02:00:00Z,2026-08-19T02:05:00Z,synu-2026-08-18,1212121212121212121212121212121212121212121212121212121212121212
11111111-1111-4111-8111-111111111111,2026-08-19,21.80,22.25,21.10,21.50,90000,USD,unadjusted,unadjusted,2026-08-20T02:00:00Z,2026-08-20T02:05:00Z,synu-2026-08-19,1313131313131313131313131313131313131313131313131313131313131313
11111111-1111-4111-8111-111111111111,2026-08-20,21.40,23.00,21.25,22.80,150000,USD,unadjusted,unadjusted,2026-08-21T02:00:00Z,2026-08-21T02:05:00Z,synu-2026-08-20,1414141414141414141414141414141414141414141414141414141414141414
22222222-2222-4222-8222-222222222222,2026-08-17,10.00,10.40,9.80,10.20,50000,CAD,unadjusted,unadjusted,2026-08-18T02:00:00Z,2026-08-18T02:05:00Z,sync-raw-2026-08-17,2121212121212121212121212121212121212121212121212121212121212121
22222222-2222-4222-8222-222222222222,2026-08-18,10.20,10.60,10.10,10.50,55000,CAD,unadjusted,unadjusted,2026-08-19T02:00:00Z,2026-08-19T02:05:00Z,sync-raw-2026-08-18,2222222222222222222222222222222222222222222222222222222222222222
22222222-2222-4222-8222-222222222222,2026-08-19,5.25,5.50,5.10,5.40,120000,CAD,unadjusted,unadjusted,2026-08-20T02:00:00Z,2026-08-20T02:05:00Z,sync-raw-2026-08-19,2323232323232323232323232323232323232323232323232323232323232323
22222222-2222-4222-8222-222222222222,2026-08-20,5.40,5.80,5.30,5.70,130000,CAD,unadjusted,unadjusted,2026-08-21T02:00:00Z,2026-08-21T02:05:00Z,sync-raw-2026-08-20,2424242424242424242424242424242424242424242424242424242424242424
22222222-2222-4222-8222-222222222222,2026-08-17,5.00,5.20,4.90,5.10,100000,CAD,split_adjusted,split_adjusted,2026-08-18T02:00:00Z,2026-08-18T02:05:00Z,sync-adjusted-2026-08-17,3131313131313131313131313131313131313131313131313131313131313131
22222222-2222-4222-8222-222222222222,2026-08-18,5.10,5.30,5.05,5.25,110000,CAD,split_adjusted,split_adjusted,2026-08-19T02:00:00Z,2026-08-19T02:05:00Z,sync-adjusted-2026-08-18,3232323232323232323232323232323232323232323232323232323232323232
22222222-2222-4222-8222-222222222222,2026-08-19,5.25,5.50,5.10,5.40,120000,CAD,split_adjusted,split_adjusted,2026-08-20T02:00:00Z,2026-08-20T02:05:00Z,sync-adjusted-2026-08-19,3333333333333333333333333333333333333333333333333333333333333333
22222222-2222-4222-8222-222222222222,2026-08-20,5.40,5.80,5.30,5.70,130000,CAD,split_adjusted,split_adjusted,2026-08-21T02:00:00Z,2026-08-21T02:05:00Z,sync-adjusted-2026-08-20,3434343434343434343434343434343434343434343434343434343434343434
33333333-3333-4333-8333-333333333333,2026-08-17,1000.00,1010.00,995.00,1005.00,0,USD,unadjusted,unadjusted,2026-08-18T02:00:00Z,2026-08-18T02:05:00Z,synidx-2026-08-17,4141414141414141414141414141414141414141414141414141414141414141
33333333-3333-4333-8333-333333333333,2026-08-18,1005.00,1020.00,1000.00,1015.00,0,USD,unadjusted,unadjusted,2026-08-19T02:00:00Z,2026-08-19T02:05:00Z,synidx-2026-08-18,4242424242424242424242424242424242424242424242424242424242424242
33333333-3333-4333-8333-333333333333,2026-08-19,1015.00,1025.00,1008.00,1010.00,0,USD,unadjusted,unadjusted,2026-08-20T02:00:00Z,2026-08-20T02:05:00Z,synidx-2026-08-19,4343434343434343434343434343434343434343434343434343434343434343
33333333-3333-4333-8333-333333333333,2026-08-20,1010.00,1030.00,1009.00,1028.00,0,USD,unadjusted,unadjusted,2026-08-21T02:00:00Z,2026-08-21T02:05:00Z,synidx-2026-08-20,4444444444444444444444444444444444444444444444444444444444444444
